X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8372862.77208578,4870727.27800316,9774,32123S,Bus,Infodev,32,Southbound,123,Ridge Av & Lyceum Av,40.03292,-75.214706,Fall 2021,84,1,29,3,16,0
-8372952.82955383,4859515.08867429,9775,2121371W,Bus,Infodev,21,Westbound,21371,Walnut St & 47th St,39.955757,-75.215515,Fall 2021,13,30,5,28,5,22
-8353770.47753932,4871816.14396873,9776,881241S,Bus,Infodev,88,Southbound,1241,Rowland Av & Ryan Av,40.040409,-75.043197,Fall 2021,27,11,2,1,1,2
-8372827.03852923,4870710.12230573,9777,3212302N,Bus,Infodev,32,Northbound,12302,Ridge Av & Lyceum Av,40.032802,-75.214385,Fall 2021,1,45,0,11,0,7
-8373177.02700829,4859551.5397699,9778,2121372W,Bus,Infodev,21,Westbound,21372,Walnut St & 48th St,39.956008,-75.217529,Fall 2021,25,68,19,41,10,28
-8353016.28798919,4872262.10610218,9779,8822450S,Bus,Infodev,88,Southbound,22450,Rowland Av & Sheffield Av,40.043476,-75.036422,Fall 2021,8,3,3,1,1,1
-8372862.77208578,4870727.27800316,9780,35123L,Bus,Infodev,35,Loop,123,Ridge Av & Lyceum Av,40.03292,-75.214706,Fall 2021,1,2,1,4,3,3
-8373395.32452973,4859587.55532643,9781,2121374W,Bus,Infodev,21,Westbound,21374,Walnut St & 49th St,39.956256,-75.21949,Fall 2021,25,63,15,32,10,25
-8353028.19917471,4872237.67726904,9782,8822357N,Bus,Infodev,88,Northbound,22357,Rowland Av & Sheffield St,40.043308,-75.036529,Fall 2021,3,4,0,2,0,3
-8372862.77208578,4870727.27800316,9783,9123S,Bus,Infodev,9,Southbound,123,Ridge Av & Lyceum Av,40.03292,-75.214706,Fall 2021,31,32,25,11,9,6
-8373615.29184354,4859624.15191281,9784,2121375W,Bus,Infodev,21,Westbound,21375,Walnut St & 50th St,39.956508,-75.221466,Fall 2021,23,68,17,35,7,29
-8353992.11464548,4871725.12188358,9785,8822351N,Bus,Infodev,88,Northbound,22351,Rowland Av & Teesdale St,40.039783,-75.045188,Fall 2021,8,4,3,0,1,2
-8372827.03852923,4870710.12230573,9786,912302N,Bus,Infodev,9,Northbound,12302,Ridge Av & Lyceum Av,40.032802,-75.214385,Fall 2021,28,32,9,10,5,10
-8373834.36860142,4859658.57025401,9787,2121376W,Bus,Infodev,21,Westbound,21376,Walnut St & 51st St,39.956745,-75.223434,Fall 2021,17,45,6,30,4,17
-8353417.14947554,4872001.38957925,9788,8822355N,Bus,Infodev,88,Northbound,22355,Rowland Av & Vista St,40.041683,-75.040023,Fall 2021,18,113,4,5,2,1
-8375724.90751356,4875889.29260171,9789,2712408S,Bus,Infodev,27,Southbound,12408,Ridge Av & Manatawna Av,40.068416,-75.240417,Fall 2021,15,2,5,2,2,1
-8374052.66612287,4859694.0052953,9790,21434W,Bus,Infodev,21,Westbound,434,Walnut St & 52nd St,39.956989,-75.225395,Fall 2021,114,154,59,99,26,51
-8353414.58912725,4872025.23620445,9791,8822452S,Bus,Infodev,88,Southbound,22452,Rowland Av & Vista St,40.041847,-75.04,Fall 2021,38,47,0,1,3,1
-8375707.87563147,4875877.07370666,9792,2719042N,Bus,Infodev,27,Northbound,19042,Ridge Av & Manatawna Av,40.068332,-75.240264,Fall 2021,2,16,0,2,0,1
-8374272.63343668,4859729.44046302,9793,2121377W,Bus,Infodev,21,Westbound,21377,Walnut St & 53rd St,39.957233,-75.227371,Fall 2021,15,39,9,18,6,15
-8351893.51960505,4872913.85469914,9794,8822362N,Bus,Infodev,88,Northbound,22362,Rowland Av & Welsh Rd,40.047958,-75.026336,Fall 2021,8,19,0,2,1,3
-8372414.37717686,4868783.63905452,9795,6512304N,Bus,Infodev,65,Northbound,12304,Ridge Av & Manayunk Av,40.01955,-75.210678,Fall 2021,27,24,10,19,6,12
-8374471.33872774,4859761.53553963,9796,2121378W,Bus,Infodev,21,Westbound,21378,Walnut St & 54th St,39.957454,-75.229156,Fall 2021,24,47,17,29,7,24
-8372106.02218737,4870511.52546038,9797,3216523S,Bus,Infodev,32,Southbound,16523,Roxborough Av & Henry Av,40.031436,-75.207908,Fall 2021,6,1,6,0,2,0
-8372406.696132,4868821.86851916,9798,6517343S,Bus,Infodev,65,Southbound,17343,Ridge Av & Manayunk Av,40.019813,-75.210609,Fall 2021,17,36,7,4,7,9
-8374709.11716008,4859801.47299698,9799,2121379W,Bus,Infodev,21,Westbound,21379,Walnut St & 55th St,39.957729,-75.231292,Fall 2021,19,46,10,26,9,16
-8372115.37302459,4870524.90081846,9800,3216017N,Bus,Infodev,32,Northbound,16017,Roxborough Av & Henry Av - FS,40.031528,-75.207992,Fall 2021,0,2,1,3,0,2
-8372406.696132,4868821.86851916,9801,917343S,Bus,Infodev,9,Southbound,17343,Ridge Av & Manayunk Av,40.019813,-75.210609,Fall 2021,22,15,11,5,6,4
-8374941.88621533,4859836.90854815,9802,2121380W,Bus,Infodev,21,Westbound,21380,Walnut St & 56th St,39.957973,-75.233383,Fall 2021,24,99,15,55,13,38
-8372310.73873093,4870394.05569925,9803,3216521S,Bus,Infodev,32,Southbound,16521,Roxborough Av & Houghton St,40.030628,-75.209747,Fall 2021,3,0,3,0,2,0
-8372414.37717686,4868783.63905452,9804,912304N,Bus,Infodev,9,Northbound,12304,Ridge Av & Manayunk Av,40.01955,-75.210678,Fall 2021,16,35,8,22,4,9
-8375164.41387742,4859873.50605339,9805,2121381W,Bus,Infodev,21,Westbound,21381,Walnut St & 57th St,39.958225,-75.235382,Fall 2021,39,83,19,42,19,25
-8372276.78628624,4870431.70983996,9806,3216018N,Bus,Infodev,32,Northbound,16018,Roxborough Av & Houghton St,40.030887,-75.209442,Fall 2021,1,6,0,1,0,0
-8372193.51930713,4869640.85753694,9807,6512305S,Bus,Infodev,65,Southbound,12305,Ridge Av & Markel St,40.025447,-75.208694,Fall 2021,7,13,3,1,5,1
-8375380.93028701,4859909.52277752,9808,2121382W,Bus,Infodev,21,Westbound,21382,Walnut St & 58th St,39.958473,-75.237327,Fall 2021,10,43,6,18,8,13
-8373070.82821407,4869967.51259851,9809,3516190L,Bus,Infodev,35,Loop,16190,Roxborough Av & Manayunk Av,40.027694,-75.216575,Fall 2021,0,1,0,0,0,0
-8372193.51930713,4869640.85753694,9810,912305S,Bus,Infodev,9,Southbound,12305,Ridge Av & Markel St,40.025447,-75.208694,Fall 2021,9,5,4,3,2,0
-8375600.89760082,4859943.21596028,9811,2121383W,Bus,Infodev,21,Westbound,21383,Walnut St & 59th St,39.958705,-75.239303,Fall 2021,14,35,9,19,4,15
