X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8366507.09707843,4863085.75303427,136,417161S,Bus,UTA,4,Southbound,17161,BROAD ST & MONTGOMERY AV,39.98034,-75.157612,Fall 2016,11,9
-8366543.38723243,4862874.8153143,137,417162S,Bus,UTA,4,Southbound,17162,BROAD ST & CECIL B MOORE AV,39.978888,-75.157938,Fall 2016,100,86
-8366585.91127791,4862631.05127308,138,45273S,Bus,UTA,4,Southbound,5273,BROAD ST & OXFORD ST - FS,39.97721,-75.15832,Fall 2016,36,38
-8366616.1901794,4862448.59533546,139,417163S,Bus,UTA,4,Southbound,17163,BROAD ST & JEFFERSON ST,39.975954,-75.158592,Fall 2016,24,19
-8366647.80491479,4862258.58905395,140,45252S,Bus,UTA,4,Southbound,5252,BROAD ST & MASTER ST,39.974646,-75.158876,Fall 2016,28,22
-8366679.86492814,4862066.55276106,141,45328S,Bus,UTA,4,Southbound,5328,BROAD ST & THOMPSON ST,39.973324,-75.159164,Fall 2016,10,14
-8366721.16445922,4861824.98741962,142,4143S,Bus,UTA,4,Southbound,143,BROAD ST & GIRARD AV,39.971661,-75.159535,Fall 2016,80,111
-8366750.88676326,4861633.25002172,143,417164S,Bus,UTA,4,Southbound,17164,BROAD ST & POPLAR ST,39.970341,-75.159802,Fall 2016,33,17
-8366781.72226221,4861447.47163551,144,45277S,Bus,UTA,4,Southbound,5277,BROAD ST & PARRISH ST,39.969062,-75.160079,Fall 2016,16,7
-8366811.33324677,4861272.44513982,145,45144S,Bus,UTA,4,Southbound,5144,BROAD ST & BROWN ST,39.967857,-75.160345,Fall 2016,18,17
-8366843.6158991,4861075.9252908,146,417165S,Bus,UTA,4,Southbound,17165,BROAD ST & RIDGE AV - FS,39.966504,-75.160635,Fall 2016,50,33
-8366874.67403703,4860888.99538526,147,417166S,Bus,UTA,4,Southbound,17166,BROAD ST & WALLACE ST,39.965217,-75.160914,Fall 2016,18,15
-8366915.86224862,4860649.05632821,148,417167S,Bus,UTA,4,Southbound,17167,BROAD ST & GREEN ST,39.963565,-75.161284,Fall 2016,5,14
-8366938.57142474,4860507.88424101,149,417168S,Bus,UTA,4,Southbound,17168,BROAD ST & SPRING GARDEN ST,39.962593,-75.161488,Fall 2016,56,68
-8367004.91784125,4860105.43861706,150,417169S,Bus,UTA,4,Southbound,17169,BROAD ST & CALLOWHILL ST,39.959822,-75.162084,Fall 2016,5,16
-8367041.76459271,4859884.10773685,151,431123S,Bus,UTA,4,Southbound,31123,BROAD ST & VINE ST,39.958298,-75.162415,Fall 2016,22,44
-8367090.29989069,4859611.37213716,152,417170S,Bus,UTA,4,Southbound,17170,BROAD ST & RACE ST,39.95642,-75.162851,Fall 2016,54,71
-8367136.83143785,4859355.05397306,153,45131S,Bus,UTA,4,Southbound,5131,BROAD ST & ARCH ST,39.954655,-75.163269,Fall 2016,48,167
-8367352.23465253,4859098.59720654,154,4515S,Bus,UTA,4,Southbound,515,15TH ST & MARKET ST,39.952889,-75.165204,Fall 2016,289,324
-8367227.89078131,4858759.0853539,155,415185S,Bus,UTA,4,Southbound,15185,BROAD ST & CHESTNUT ST - FS,39.950551,-75.164087,Fall 2016,195,109
